control,window_type,cutoff,estimate,se,ci_low,ci_high,p_value
English,focal_harm,2024-04-18T20:08:40+00:00,-0.06921120405473391,0.010323065505670212,-0.08944441244584753,-0.048977995663620294,2.0206882062524767e-11
English,focal_repair,2024-04-26T19:39:05+00:00,0.0773827043021107,0.009915179719609578,0.057948952051675925,0.09681645655254546,5.975299495274446e-15
Spanish,placebo,2024-03-25,-0.0029144697420904198,0.005382127502654083,-0.013463439647292422,0.007634500163111582,0.5881568906884382
Spanish,placebo,2024-03-26,-0.0031822522419918675,0.005319362306058618,-0.013608202361866759,0.0072436978778830236,0.5496801893160738
Spanish,placebo,2024-03-27,-0.004405123925463217,0.005576282244750085,-0.015334637125173384,0.00652438927424695,0.42954233104392264
Spanish,placebo,2024-03-28,-0.00343489621663029,0.005050839525601115,-0.013334541686808475,0.006464749253547895,0.496463676465729
Spanish,placebo,2024-03-29,-0.005075957269807141,0.00574610501695786,-0.016338323103044547,0.006186408563430265,0.3770344690295217
Spanish,placebo,2024-03-30,-0.0013273946537762926,0.006535696532282136,-0.014137359857049277,0.011482570549496692,0.8390575069773234
Spanish,placebo,2024-03-31,0.004038780668922715,0.0069515146005139925,-0.009586187948084711,0.01766374928593014,0.5612452346843779
Spanish,placebo,2024-04-01,0.0014761453337964747,0.007159335900873968,-0.012556153031916501,0.01550844369950945,0.8366466595661903
Spanish,placebo,2024-04-02,3.45867413852341e-05,0.007705156167978051,-0.015067519347851745,0.015136692830622214,0.996418484754225
Spanish,placebo,2024-04-03,-0.0006234688043295078,0.007814475537028265,-0.015939840856904905,0.014692903248245891,0.93640918342928
Spanish,placebo,2024-04-04,0.000278897484637608,0.007599429750915309,-0.014615984827156397,0.015173779796431613,0.9707243751788553
Spanish,placebo,2024-04-05,-0.0037561584649021817,0.007418885091861629,-0.018297173244950976,0.01078485631514661,0.6126482444549886
Spanish,placebo,2024-04-06,-0.010314804416994061,0.007113867289088638,-0.02425798430360779,0.003628375469619669,0.14707040304703778
Spanish,placebo,2024-04-07,-0.00588461284110342,0.00816313810265837,-0.021884363522313825,0.010115137840106984,0.4709856219664399
Spanish,placebo,2024-04-08,-0.005397562244739529,0.0088222603928217,-0.022689192614670062,0.011894068125191004,0.5406623391581724
Spanish,placebo,2024-04-09,-0.0027949634027590875,0.009312710844048338,-0.02104787665709383,0.015457949851575656,0.7640829521399216
Spanish,placebo,2024-04-10,0.002804943169137264,0.010464996512844557,-0.017706449996038067,0.023316336334312595,0.7886754798027646
Spanish,placebo,2024-05-05,-0.001612571969590193,0.009638124457662779,-0.02050329590660924,0.017278151967428854,0.8671247184871027
Spanish,placebo,2024-05-06,0.004044985412909985,0.009356756479115562,-0.014294257286156516,0.022384228111976486,0.6655187592654193
Spanish,placebo,2024-05-07,-0.011130260440932127,0.00821646547031189,-0.02723453276274343,0.0049740118808791756,0.17553586526091147
Spanish,placebo,2024-05-08,-0.010177513131795268,0.008455351982900589,-0.026750003018280424,0.006394976754689887,0.22871442597790204
Spanish,placebo,2024-05-09,0.0030131459592712684,0.010382203862940356,-0.01733597361209183,0.023362265530634366,0.77164625999194
Spanish,placebo,2024-05-10,0.007605953892353856,0.010658941548213683,-0.01328557154214496,0.028497479326852673,0.4754900397791359
Spanish,placebo,2024-05-11,0.01525496191566933,0.012135495230683418,-0.008530608736470168,0.03904053256780883,0.20873440787433475
Spanish,placebo,2024-05-12,0.022911398333646193,0.013505931781507786,-0.003560227958109067,0.04938302462540145,0.0898110553013893
Spanish,placebo,2024-05-13,0.019224075145127806,0.013473025426198134,-0.007183054690220535,0.045631204980476146,0.15362123499282995
Spanish,placebo,2024-05-14,0.02697450245883004,0.011656525368849254,0.004127712735885504,0.04982129218177458,0.020661592402213814
Spanish,placebo,2024-05-15,0.025607942422883334,0.012424828224591134,0.0012552791026847095,0.04996060574308196,0.039300188028136396
Spanish,placebo,2024-05-16,0.0020589341638068692,0.012368033653119842,-0.02218241179630802,0.026300280123921757,0.867785334143155
Spanish,placebo,2024-05-17,-0.0008840905505604901,0.01257557620603257,-0.025532219914384327,0.023764038813263347,0.9439531392792817
Spanish,focal_harm,2024-04-18T20:08:40+00:00,-0.07441501040807696,0.012631781988783643,-0.0991733031060929,-0.04965671771006103,3.8364809331613315e-09
Spanish,focal_repair,2024-04-26T19:39:05+00:00,0.07866307665132621,0.011466412038171423,0.05618890905651022,0.1011372442461422,6.871398275344283e-12
